,Neg1rep1,VK1rep1,VK3rep1,VK5rep1,unenriched1,unenriched2,unenriched3
5465314,4,2,2,2,3,4,5
5484467,3,5,4,6,0,0,0
5495963,2,14,8,7,6,7,3
5518117,2,45,47,30,0,0,0
5530660,0,4,0,6,0,0,0
5531737,5,17,17,11,23,27,24
5531991,0,0,1,0,7,5,8
5535467,0,8,6,9,9,8,8
5536222,0,7,9,3,5,5,6
5561115,8,9,9,4,16,8,0
5562437,4,2,2,2,3,4,5
5570630,0,0,0,0,4,4,2
5596497,0,0,0,0,7,5,5
5599883,0,6,6,6,4,4,4
5617910,0,0,0,0,4,2,4
5619178,0,6,5,8,4,4,4
5640570,0,25,17,14,3,2,4
5661931,4,2,2,2,3,4,5
5673713,4,2,2,2,3,4,5
5673728,5,15,15,9,18,19,11
5677557,0,6,0,5,1,2,3
5681276,0,5,4,2,4,6,5
5710574,6,22,18,15,41,36,36
5710678,2,4,6,6,8,7,5
5711881,1,7,7,6,17,21,19
5720955,1,4,7,3,9,2,6
5730052,20,43,44,29,3,0,4
5730072,12,13,8,3,0,0,0
5730235,4,2,2,2,3,4,5
5750132,0,3,6,0,6,6,7
5750316,3,12,8,9,0,0,0
5753625,11,31,32,18,23,22,30
5771016,0,10,11,0,0,0,0
5787217,4,2,2,2,3,4,5
5798015,0,7,9,9,7,5,4
5813004,8,12,9,8,0,0,0
5828397,7,28,20,33,25,22,17
5830787,6,14,13,9,16,17,17
5830793,0,1,0,0,5,2,5
5830831,8,6,6,5,8,8,8
5832385,0,6,6,6,4,4,4
5839448,0,4,0,6,0,0,0
5863982,0,6,8,4,0,0,0
5887279,0,4,2,6,4,5,4
5889071,0,6,0,0,119,44,119
5908273,1,9,8,6,13,14,14
5913606,4,2,2,2,3,4,5
5957427,0,6,0,0,8,7,10
5973164,2,11,11,14,9,7,6
5996052,0,4,5,3,5,4,4
6023174,0,8,6,9,9,8,8
6024641,0,6,6,6,4,4,4
6028622,3,7,10,4,15,10,14
6029751,4,2,2,2,3,4,5
6029954,1,8,8,6,16,14,15
6060948,1,3,5,3,15,10,17
6061133,4,2,2,2,3,4,5
6085738,0,2,3,5,15,13,12
6086135,4,2,2,2,3,4,5
6099893,0,4,2,6,4,5,4
6101228,2,4,5,1,8,5,6
6102039,0,3,6,0,6,6,7
6107407,2,16,14,16,22,19,26
6116393,8,10,7,10,10,15,14
6125354,0,3,6,0,6,6,7
6125619,4,11,10,10,0,0,0
6130446,0,0,2,0,5,5,0
6131197,0,0,0,0,8,7,13
6131330,0,0,0,0,7,7,0
6155443,6,34,37,21,0,0,0
6167382,0,2,1,2,4,4,4
6167909,4,21,17,25,14,16,12
6168952,0,6,6,2,9,8,11
6171668,0,5,6,2,2,3,4
6176730,12,22,14,12,58,58,67
6199567,0,7,9,0,0,0,0
6200148,0,4,4,7,0,0,0
6211961,0,5,4,4,0,0,0
6216151,0,1,1,0,4,2,8
6216247,0,0,0,0,15,13,13
6217568,0,6,6,6,4,4,4
6217842,2,4,5,1,8,5,6
6240492,2,3,3,2,6,6,13
6243636,4,3,6,5,0,0,0
6243639,1,10,8,6,13,15,14
6274709,4,2,2,2,3,4,5
6293769,0,6,2,6,4,5,4
6315634,4,2,2,2,3,4,5
6340840,0,8,0,4,0,0,0
6343409,3,7,10,4,15,10,14
6356194,10,45,34,22,157,66,152
6362196,0,0,0,0,5,0,4
6362860,3,33,21,21,24,24,23
6362974,0,6,7,3,7,8,9
6384290,3,9,4,5,3,5,4
6384870,2,6,4,3,8,3,5
6454255,4,4,4,4,0,0,0
6464342,4,2,2,2,3,4,5
6518766,0,0,0,0,6,6,4
6528912,4,2,2,2,3,4,5
6529234,0,7,9,3,5,5,6
6561651,4,4,2,2,28,25,26
6569127,0,1,5,3,17,19,19
6579186,6,14,13,9,14,17,16
6595978,2,4,4,6,2,8,3
6615335,0,8,6,4,16,9,14
6620919,0,6,4,7,0,0,0
6634189,4,2,2,2,3,4,5
6637923,2,4,5,1,10,8,8
6649709,0,4,2,5,7,4,5
6652731,0,5,6,0,0,0,0
6662432,0,9,12,5,0,0,0
6700673,5,12,12,8,9,12,9
6702548,1,15,7,12,7,8,6
6702801,3,7,10,4,15,10,14
6718235,4,2,2,2,3,4,5
6741001,0,7,6,3,2,5,4
6741139,0,4,5,4,5,14,12
6742004,0,6,5,8,10,8,8
6742909,0,8,8,6,10,0,11
6743157,0,9,12,12,26,21,30
6743301,11,9,12,8,17,22,18
6743409,0,0,0,0,7,6,4
6750655,0,4,4,4,11,9,9
6760334,0,0,0,0,3,6,8
6762442,0,14,8,4,7,3,8
6769147,2,4,4,1,10,3,6
6850791,2,0,0,2,24,24,28
6851580,0,10,10,5,11,12,12
6852416,3,7,9,4,15,8,13
6852624,0,4,4,6,4,2,3
6886647,4,2,2,2,3,4,5
6937812,4,2,2,2,3,4,5
6987504,6,16,12,13,18,19,15
6988433,4,2,2,2,6,4,5
7011122,5,29,32,22,30,28,22
7013360,8,15,13,0,0,0,0
7025476,0,5,6,6,2,0,2
7026450,2,4,5,1,8,5,6
7062781,0,6,0,5,1,2,3
7063819,0,11,6,11,4,4,4
7063824,0,24,19,21,20,20,20
7089159,0,9,18,12,7,5,6
7092868,0,5,7,7,6,4,2
7097553,0,6,0,0,119,44,118
7099059,1,7,5,8,12,11,11
7100178,0,14,8,5,7,3,8
7101911,5,20,23,18,25,24,17
7112397,4,2,2,2,3,4,5
7114893,3,7,10,4,16,11,15
7140464,1,3,5,3,9,8,10
7171262,2,1,4,1,1,0,4
7171297,14,18,16,19,25,35,33
7171302,0,1,1,0,9,8,12
7171353,0,22,21,16,4,7,1
7171462,0,7,4,4,0,0,2
7171495,0,24,21,18,9,6,7
7171513,0,11,6,5,1,0,0
7171549,0,2,2,4,0,4,7
7171657,15,124,78,89,98,75,87
7171688,7,14,9,17,28,27,28
7171747,0,4,0,2,4,0,3
7171790,0,6,4,2,2,2,1
7171877,0,11,17,18,2,7,4
7171961,4,2,5,2,8,11,10
7173479,0,8,6,0,6,0,0
7174324,0,0,1,0,2,6,4
7200027,2,4,5,1,8,5,6
7200999,1,6,9,16,6,6,8
7229688,5,5,6,6,2,3,5
7259645,0,7,3,6,5,0,4
7261194,10,6,9,7,12,12,13
7261272,3,22,14,14,42,33,47
7263134,0,7,0,7,10,8,8
7263521,0,11,5,14,1,1,2
7287091,6,9,7,8,4,8,3
7287149,4,4,4,4,9,11,11
7287519,0,4,3,2,8,11,7
7289884,0,8,7,10,10,10,8
7290528,0,6,6,6,4,4,4
7290535,0,2,3,5,15,13,12
7291375,4,2,2,2,4,4,5
7297234,3,7,9,4,16,10,15
7297873,3,21,22,3,6,14,25
7297884,1,8,8,6,16,18,16
7298112,0,5,4,4,0,0,0
7298179,2,2,2,2,7,9,15
7298315,0,3,6,0,6,6,7
7301770,0,4,6,4,4,3,4
7309750,3,13,13,8,20,17,18
7366591,2,4,5,1,8,5,6
7381866,0,2,3,5,16,13,12
7383889,0,4,4,3,6,6,4
7386304,4,2,2,2,3,4,5
7386976,0,4,4,3,6,6,4
7412623,0,4,5,3,6,6,4
7412647,0,17,17,12,13,7,20
7433334,0,1,1,0,15,13,14
7437267,1,3,5,3,9,8,10
7438775,0,17,25,20,10,5,6
7439957,2,3,2,2,6,6,13
7440434,0,8,6,9,9,9,9
7441750,0,42,60,40,23,25,18
7467932,4,2,2,2,3,4,5
7476042,6,13,13,9,16,17,17
7493818,0,7,4,1,4,4,3
7496609,3,5,4,6,0,0,0
7497632,22,28,25,32,31,28,34
7504384,3,20,13,20,14,12,12
7505551,0,0,0,0,12,6,12
7521189,5,48,43,28,60,50,67
7522455,0,7,7,8,0,0,4
7522635,0,25,17,6,20,24,25
7523317,0,5,6,2,2,3,4
7523387,0,4,4,3,5,4,5
7524160,2,4,6,1,8,5,6
7524512,0,1,1,0,4,2,8
7529421,0,8,8,7,9,12,7
7532825,4,3,4,4,3,4,5
7537080,6,15,14,9,16,17,17
7538092,0,1,3,2,9,11,7
7539645,3,7,9,4,15,8,13
7544394,4,2,2,2,3,4,5
7553293,0,0,0,0,6,7,9
7554865,2,12,7,3,13,9,12
7561697,4,2,2,2,3,4,5
7568577,1,28,19,27,47,36,41
7569326,3,30,28,25,76,70,70
7580099,6,13,15,9,17,19,16
7582884,2,14,7,11,6,7,7
7583511,0,3,0,1,4,4,4
7591513,6,14,9,15,11,9,10
7598496,6,13,13,9,14,17,16
7607302,4,2,2,2,3,4,5
7612050,3,3,2,4,8,8,8
7634964,0,0,0,0,6,8,5
7643301,2,4,4,1,10,6,7
7644634,3,3,2,4,8,8,8
7655641,2,12,10,0,0,0,0
7655965,4,2,2,2,3,4,5
7661714,10,33,57,53,18,20,15
7665111,0,5,10,3,0,0,0
7679354,0,17,18,18,14,13,12
7679391,0,4,6,2,2,3,5
7684144,0,8,0,10,7,3,4
7684206,4,5,12,6,9,2,6
7685394,0,5,5,0,5,6,4
7691051,1,15,7,12,7,8,6
7691258,0,6,6,6,4,4,4
7691824,0,4,7,2,3,0,0
7691951,0,8,6,9,10,12,9
7694238,2,6,6,5,8,9,16
7697530,0,8,6,0,6,0,0
7724887,0,7,7,7,3,2,0
7758502,19,0,0,5,0,0,0
7822625,47,267,228,241,303,263,301
7822741,2,1,2,1,7,9,6
7825230,0,4,7,7,8,8,4
7903160,0,5,12,5,0,0,0
7903305,12,20,26,16,0,0,0
7912012,3,3,2,4,8,7,6
7933496,10,96,80,52,53,59,66
7937195,0,4,5,3,7,6,4
7963239,4,2,2,2,3,4,5
7963416,1,8,8,6,15,14,15
7965261,4,12,16,14,31,25,29
7967270,2,4,5,1,8,5,6
7971161,3,7,9,4,16,10,15
7971758,0,7,10,10,8,8,12
7982638,0,6,7,3,2,3,4
7985367,0,0,0,0,3,6,6
7999658,3,21,22,3,6,14,25
7999751,6,9,13,6,8,6,4
8018209,6,31,30,37,50,39,42
8019637,1,5,5,5,7,5,8
8029150,0,6,5,8,4,4,4
8042219,4,11,11,9,9,10,9
8042238,2,4,5,1,8,5,6
8043288,0,8,13,10,0,0,2
8043328,4,2,2,2,3,4,5
8043602,0,4,1,7,22,14,17
8044218,2,4,4,1,9,5,7
8045557,0,0,0,0,6,8,5
8047606,0,0,0,0,5,3,5
8047714,3,6,4,3,10,9,11
8052297,0,0,0,0,5,5,4
8057526,4,2,2,2,3,4,5
8071617,3,9,9,6,16,10,15
8077390,0,5,3,2,2,3,4
8092444,0,8,2,3,119,65,118
8099862,4,4,5,4,3,4,5
8103948,0,0,0,1,6,6,6
8107171,6,51,49,32,0,0,0
8107270,1,8,7,2,0,0,0
8107297,0,10,15,9,0,0,0
8127380,0,6,6,6,4,4,4
8144963,9,10,7,12,31,33,38
8163776,0,3,6,0,6,6,7
8170293,0,7,8,6,0,0,0
8172587,2,17,9,13,18,18,18
8172836,1,8,8,6,15,14,15
8173354,0,1,0,0,4,6,2
8173470,3,21,16,14,27,37,29
8173692,0,4,4,4,4,5,6
8187004,0,2,3,2,12,6,12
8195337,4,2,2,2,3,4,5
8283720,8,6,10,8,0,0,0
8291700,9,27,25,23,9,8,7
8291718,0,8,6,9,10,10,8
8291745,0,9,7,4,5,6,8
8305836,0,4,5,3,5,5,4
8400882,4,3,6,0,5,9,5
8401762,0,2,1,2,4,4,5
8403262,0,0,5,3,1,1,4
8454686,0,18,17,15,7,6,8
8454890,0,0,0,0,5,4,3
8454917,0,21,19,12,11,9,16
8454985,0,6,13,7,17,19,16
8455053,2,34,34,25,50,55,59
8455241,0,5,8,2,0,0,0
8455313,0,0,0,0,7,16,14
8455507,0,9,7,8,18,12,15
8476121,4,16,13,18,29,21,24
8534931,0,7,4,5,0,0,0
8541815,2,4,5,1,9,9,10
8546672,0,6,5,8,5,6,4
8548706,0,15,8,9,15,15,11
8566611,2,6,5,3,10,7,7
8615293,4,2,2,2,3,4,5
8644758,1,19,16,18,22,20,22
8644821,4,2,2,2,3,4,5
8650619,3,7,8,9,0,0,0
8692550,0,4,3,6,4,5,4
8756961,0,4,6,10,8,4,7
8760323,4,2,2,2,3,4,5
8769071,4,2,2,2,3,4,6
8790741,0,11,9,5,5,10,6
8824460,0,6,0,5,3,3,3
8825181,0,7,0,0,6,6,6
8838561,0,0,6,2,7,5,0
8879186,0,0,0,0,12,10,8
8883190,3,4,6,5,0,0,0
8887938,0,4,2,6,4,5,4
8888620,4,3,4,4,3,4,5
8889679,20,18,17,13,50,49,48
8907106,4,9,11,4,35,20,25
8917842,3,26,30,8,11,18,33
8955380,2,4,5,1,8,5,6
8956920,1,4,7,3,9,2,6
8957519,4,2,2,2,3,4,5
8974409,11,19,13,11,0,0,0
9013184,0,6,6,6,4,4,4
9013574,1,5,3,4,1,3,6
9045964,0,24,17,14,3,2,4
9047445,0,12,8,13,7,6,5
9048349,0,14,9,4,7,3,8
9050982,3,7,10,4,15,10,14
9052340,4,2,2,2,3,4,5
9056874,4,2,2,2,3,4,5
9072926,0,2,1,2,4,4,4
9076218,0,0,0,0,6,10,0
9085008,6,11,9,8,23,30,26
9103759,1,9,6,11,20,16,16
9107704,0,1,0,0,5,5,4
9108205,4,2,2,2,3,4,5
9110582,0,3,6,0,6,6,7
9112719,0,6,12,7,0,0,0
9131186,0,6,0,5,1,2,3
9132573,6,14,9,15,11,10,10
9141812,0,4,4,4,2,2,2
9191633,0,15,13,11,5,7,8
9202962,0,10,9,7,12,11,13
9206089,0,7,9,4,10,5,8
9206098,0,6,8,7,8,11,8
9206105,0,0,0,0,4,0,5
9215891,6,14,13,9,16,17,17
9241104,0,0,0,0,6,5,0
9252240,2,14,9,10,7,9,7
9261770,10,40,34,24,159,79,150
9292700,0,6,0,0,119,44,118
9339554,0,10,8,19,5,2,3
9340396,0,6,3,4,0,1,0
9386419,3,7,10,4,15,10,14
9399258,3,13,8,9,8,6,6
9486581,2,9,7,7,5,5,4
9503177,0,4,2,3,4,7,4
9505311,0,28,39,29,23,24,16
9506930,0,10,9,12,1,8,6
9509419,0,6,6,10,10,13,10
9510607,0,11,13,0,8,9,12
9511862,4,2,2,2,3,5,6
9537114,0,8,5,5,0,0,0
9538646,1,15,7,12,7,8,6
