"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"6886647",0,0,0,3,4,5
"6937812",0,0,0,3,4,5
"6987504",10,6,7,18,19,15
"6988433",0,0,0,6,4,5
"7011122",24,27,17,30,28,22
"7013360",7,5,0,0,0,0
"7025476",5,6,6,2,0,2
"7026450",2,3,0,8,5,6
"7062781",6,0,5,1,2,3
"7063819",11,6,11,4,4,4
"7063824",24,19,21,20,20,20
"7089159",9,18,12,7,5,6
"7092868",5,7,7,6,4,2
"7097553",6,0,0,119,44,118
"7099059",6,4,7,12,11,11
"7100178",14,8,5,7,3,8
"7101911",15,18,13,25,24,17
"7112397",0,0,0,3,4,5
"7114893",4,7,1,16,11,15
"7140464",2,4,2,9,8,10
"7171262",0,2,0,1,0,4
"7171297",4,2,5,25,35,33
"7171302",1,1,0,9,8,12
"7171353",22,21,16,4,7,1
"7171462",7,4,4,0,0,2
"7171495",24,21,18,9,6,7
"7171513",11,6,5,1,0,0
"7171549",2,2,4,0,4,7
"7171657",109,63,74,98,75,87
"7171688",7,2,10,28,27,28
"7171747",4,0,2,4,0,3
"7171790",6,4,2,2,2,1
"7171877",11,17,18,2,7,4
"7171961",0,1,0,8,11,10
"7173479",8,6,0,6,0,0
"7174324",0,1,0,2,6,4
"7200027",2,3,0,8,5,6
"7200999",5,8,15,6,6,8
"7229688",0,1,1,2,3,5
"7259645",7,3,6,5,0,4
"7261194",0,0,0,12,12,13
"7261272",19,11,11,42,33,47
"7263134",7,0,7,10,8,8
"7263521",11,5,14,1,1,2
"7287091",3,1,2,4,8,3
"7287149",0,0,0,9,11,11
"7287519",4,3,2,8,11,7
"7289884",8,7,10,10,10,8
"7290528",6,6,6,4,4,4
"7290535",2,3,5,15,13,12
"7291375",0,0,0,4,4,5
"7297234",4,6,1,16,10,15
"7297873",18,19,0,6,14,25
"7297884",7,7,5,16,18,16
"7298112",5,4,4,0,0,0
"7298179",0,0,0,7,9,15
"7298315",3,6,0,6,6,7
"7301770",4,6,4,4,3,4
"7309750",10,10,5,20,17,18
"7366591",2,3,0,8,5,6
"7381866",2,3,5,16,13,12
"7383889",4,4,3,6,6,4
"7386304",0,0,0,3,4,5
"7386976",4,4,3,6,6,4
"7412623",4,5,3,6,6,4
"7412647",17,17,12,13,7,20
"7433334",1,1,0,15,13,14
"7437267",2,4,2,9,8,10
"7438775",17,25,20,10,5,6
"7439957",1,0,0,6,6,13
"7440434",8,6,9,9,9,9
"7441750",42,60,40,23,25,18
"7467932",0,0,0,3,4,5
"7476042",7,7,3,16,17,17
"7493818",7,4,1,4,4,3
"7496609",2,1,3,0,0,0
"7497632",6,3,10,31,28,34
"7504384",17,10,17,14,12,12
"7505551",0,0,0,12,6,12
"7521189",43,38,23,60,50,67
"7522455",7,7,8,0,0,4
"7522635",25,17,6,20,24,25
"7523317",5,6,2,2,3,4
"7523387",4,4,3,5,4,5
"7524160",2,4,0,8,5,6
"7524512",1,1,0,4,2,8
"7529421",8,8,7,9,12,7
"7532825",0,0,0,3,4,5
"7537080",9,8,3,16,17,17
"7538092",1,3,2,9,11,7
"7539645",4,6,1,15,8,13
"7544394",0,0,0,3,4,5
"7553293",0,0,0,6,7,9
"7554865",10,5,1,13,9,12
"7561697",0,0,0,3,4,5
"7568577",27,18,26,47,36,41
"7569326",27,25,22,76,70,70
"7580099",7,9,3,17,19,16
"7582884",12,5,9,6,7,7
"7583511",3,0,1,4,4,4
"7591513",8,3,9,11,9,10
"7598496",7,7,3,14,17,16
"7607302",0,0,0,3,4,5
"7612050",0,0,1,8,8,8
"7634964",0,0,0,6,8,5
"7643301",2,2,0,10,6,7
"7644634",0,0,1,8,8,8
"7655641",10,8,0,0,0,0
"7655965",0,0,0,3,4,5
"7661714",23,47,43,18,20,15
"7665111",5,10,3,0,0,0
"7679354",17,18,18,14,13,12
"7679391",4,6,2,2,3,5
"7684144",8,0,10,7,3,4
"7684206",1,8,2,9,2,6
"7685394",5,5,0,5,6,4
"7691051",14,6,11,7,8,6
"7691258",6,6,6,4,4,4
"7691824",4,7,2,3,0,0
"7691951",8,6,9,10,12,9
"7694238",4,4,3,8,9,16
"7697530",8,6,0,6,0,0
"7724887",7,7,7,3,2,0
"7758502",0,0,0,0,0,0
"7822625",220,181,194,303,263,301
"7822741",0,0,0,7,9,6
"7825230",4,7,7,8,8,4
"7903160",5,12,5,0,0,0
"7903305",8,14,4,0,0,0
"7912012",0,0,1,8,7,6
"7933496",86,70,42,53,59,66
"7937195",4,5,3,7,6,4
"7963239",0,0,0,3,4,5
"7963416",7,7,5,15,14,15
"7965261",8,12,10,31,25,29
"7967270",2,3,0,8,5,6
"7971161",4,6,1,16,10,15
"7971758",7,10,10,8,8,12
"7982638",6,7,3,2,3,4
"7985367",0,0,0,3,6,6
"7999658",18,19,0,6,14,25
"7999751",3,7,0,8,6,4
"8018209",25,24,31,50,39,42
"8019637",4,4,4,7,5,8
"8029150",6,5,8,4,4,4
"8042219",7,7,5,9,10,9
"8042238",2,3,0,8,5,6
"8043288",8,13,10,0,0,2
"8043328",0,0,0,3,4,5
"8043602",4,1,7,22,14,17
"8044218",2,2,0,9,5,7
"8045557",0,0,0,6,8,5
"8047606",0,0,0,5,3,5
"8047714",3,1,0,10,9,11
"8052297",0,0,0,5,5,4
"8057526",0,0,0,3,4,5
"8071617",6,6,3,16,10,15
"8077390",5,3,2,2,3,4
"8092444",8,2,3,119,65,118
"8099862",0,1,0,3,4,5
"8103948",0,0,1,6,6,6
"8107171",45,43,26,0,0,0
"8107270",7,6,1,0,0,0
"8107297",10,15,9,0,0,0
"8127380",6,6,6,4,4,4
"8144963",1,0,3,31,33,38
"8163776",3,6,0,6,6,7
"8170293",7,8,6,0,0,0
"8172587",15,7,11,18,18,18
"8172836",7,7,5,15,14,15
"8173354",1,0,0,4,6,2
"8173470",18,13,11,27,37,29
"8173692",4,4,4,4,5,6
"8187004",2,3,2,12,6,12
"8195337",0,0,0,3,4,5
"8283720",0,2,0,0,0,0
"8291700",18,16,14,9,8,7
"8291718",8,6,9,10,10,8
"8291745",9,7,4,5,6,8
"8305836",4,5,3,5,5,4
"8400882",0,2,0,5,9,5
"8401762",2,1,2,4,4,5
"8403262",0,5,3,1,1,4
"8454686",18,17,15,7,6,8
"8454890",0,0,0,5,4,3
"8454917",21,19,12,11,9,16
"8454985",6,13,7,17,19,16
"8455053",32,32,23,50,55,59
"8455241",5,8,2,0,0,0
"8455313",0,0,0,7,16,14
"8455507",9,7,8,18,12,15
"8476121",12,9,14,29,21,24
"8534931",7,4,5,0,0,0
"8541815",2,3,0,9,9,10
"8546672",6,5,8,5,6,4
"8548706",15,8,9,15,15,11
"8566611",4,3,1,10,7,7
"8615293",0,0,0,3,4,5
"8644758",18,15,17,22,20,22
"8644821",0,0,0,3,4,5
"8650619",4,5,6,0,0,0
"8692550",4,3,6,4,5,4
"8756961",4,6,10,8,4,7
"8760323",0,0,0,3,4,5
"8769071",0,0,0,3,4,6
"8790741",11,9,5,5,10,6
"8824460",6,0,5,3,3,3
"8825181",7,0,0,6,6,6
"8838561",0,6,2,7,5,0
"8879186",0,0,0,12,10,8
"8883190",1,3,2,0,0,0
"8887938",4,2,6,4,5,4
"8888620",0,0,0,3,4,5
"8889679",0,0,0,50,49,48
"8907106",5,7,0,35,20,25
"8917842",23,27,5,11,18,33
"8955380",2,3,0,8,5,6
"8956920",3,6,2,9,2,6
"8957519",0,0,0,3,4,5
"8974409",8,2,0,0,0,0
"9013184",6,6,6,4,4,4
"9013574",4,2,3,1,3,6
"9045964",24,17,14,3,2,4
"9047445",12,8,13,7,6,5
"9048349",14,9,4,7,3,8
"9050982",4,7,1,15,10,14
"9052340",0,0,0,3,4,5
"9056874",0,0,0,3,4,5
"9072926",2,1,2,4,4,4
"9076218",0,0,0,6,10,0
"9085008",5,3,2,23,30,26
"9103759",8,5,10,20,16,16
"9107704",1,0,0,5,5,4
"9108205",0,0,0,3,4,5
"9110582",3,6,0,6,6,7
"9112719",6,12,7,0,0,0
"9131186",6,0,5,1,2,3
"9132573",8,3,9,11,10,10
"9141812",4,4,4,2,2,2
"9191633",15,13,11,5,7,8
"9202962",10,9,7,12,11,13
"9206089",7,9,4,10,5,8
"9206098",6,8,7,8,11,8
"9206105",0,0,0,4,0,5
"9215891",8,7,3,16,17,17
"9241104",0,0,0,6,5,0
"9252240",12,7,8,7,9,7
"9261770",30,24,14,159,79,150
"9292700",6,0,0,119,44,118
"9339554",10,8,19,5,2,3
"9340396",6,3,4,0,1,0
"9386419",4,7,1,15,10,14
"9399258",10,5,6,8,6,6
"9486581",7,5,5,5,5,4
"9503177",4,2,3,4,7,4
"9505311",28,39,29,23,24,16
"9506930",10,9,12,1,8,6
"9509419",6,6,10,10,13,10
"9510607",11,13,0,8,9,12
"9511862",0,0,0,3,5,6
"9537114",8,5,5,0,0,0
"9538646",14,6,11,7,8,6
"9542340",0,0,0,3,4,5
"9565915",0,0,0,0,0,0
"9598464",3,6,0,6,6,7
"9607764",5,6,4,2,3,4
"9628878",0,0,0,3,4,5
"9628897",3,1,2,4,3,5
"9670834",4,4,3,5,5,4
"9700083",0,0,0,3,4,5
"9714941",0,0,0,0,0,0
"9721651",12,4,8,8,15,12
"9722953",0,0,0,3,4,5
"9740705",26,23,22,39,40,39
"9760084",5,4,5,0,0,0
"9919199",0,0,0,3,4,5
