"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"2057470",7.52360011868108,7.4735667839026,7.48258994740854,7.49467181559862,7.54147985314859,7.62929173551807
"2105368",7.42636622439863,7.4735667839026,7.25866617822184,7.55699349236909,7.49779642185464,7.52109731439774
"2106886",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2114380",7.95385541139863,8.09815983984405,7.96054392508631,7.25866617822184,7.25866617822184,7.25866617822184
"2120552",7.54880554530833,7.25866617822184,7.25866617822184,8.3826657209399,7.96187151546826,8.3945137118906
"2159483",7.52360011868108,7.50673578412881,7.64574093179432,7.44155677366296,7.49779642185464,7.52109731439774
"2160032",7.46399825457487,7.25866617822184,7.57502595281593,7.49467181559862,7.47259963490903,7.47303857370642
"2163256",7.42636622439863,7.53593133228422,7.44156025306615,7.59205850025815,7.57920077882591,7.61359396500449
"2271726",7.49569671758457,7.43418578674623,7.38803508891605,7.55699349236909,7.44398035662639,7.49828683401678
"2287574",7.71626960401779,7.86263877751961,7.86127322639527,7.53778774910904,7.54147985314859,7.54205932318509
"2320559",7.61371534255817,7.56230187182396,7.60026033168377,7.57501995031687,7.57920077882591,7.61359396500449
"2342451",7.42636622439863,7.43418578674623,7.62372461434459,7.46980301415021,7.49779642185464,7.36592630713088
"2357132",7.7008754961423,7.76805491236097,7.72325860776794,7.60825365070685,7.61286953799836,7.59715370919788
"2399443",7.59350310692679,7.50673578412881,7.54755788072856,7.55699349236909,7.57920077882591,7.59715370919788
"2409733",7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.36570638463141,7.25866617822184
"2410456",7.42636622439863,7.43418578674623,7.25866617822184,7.59205850025815,7.5205604624675,7.54205932318509
"2429252",7.61371534255817,7.66916390247157,7.57502595281593,7.79435937657229,7.69840130347731,7.7119701798123
"2433827",7.61371534255817,7.65017956310443,7.51714484619344,7.6527928891314,7.57920077882591,7.62929173551807
"2433984",7.71626960401779,7.72134846698868,7.68631073664147,7.72911675781694,7.65798988557333,7.65880548848324
"2478382",7.65096932709961,7.73744285458943,7.64574093179432,7.25866617822184,7.25866617822184,7.25866617822184
"2481550",7.49569671758457,7.43418578674623,7.38803508891605,7.57501995031687,7.49779642185464,7.54205932318509
"2550329",7.49569671758457,7.56230187182396,7.38803508891605,7.66653619143971,7.56093786377759,7.64433772349272
"2569637",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2594166",7.46399825457487,7.53593133228422,7.25866617822184,7.5171399354032,7.49779642185464,7.52109731439774
"2596686",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2599458",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2609128",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2611346",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"2647227",7.25866617822184,7.43418578674623,7.25866617822184,7.70517068017875,7.7233394891204,7.72428643884798
"2651164",7.25866617822184,7.25866617822184,7.25866617822184,7.49467181559862,7.47259963490903,7.41032001249101
"2717161",7.49569671758457,7.56230187182396,7.38803508891605,7.66653619143971,7.56093786377759,7.64433772349272
"2749207",7.42636622439863,7.4735667839026,7.25866617822184,7.55699349236909,7.49779642185464,7.52109731439774
"2752055",7.37728137895875,7.25866617822184,7.25866617822184,7.55699349236909,7.5205604624675,7.47303857370642
"2775482",7.54880554530833,7.63020161985609,7.48258994740854,7.75186284921584,7.7110478664271,7.7362745524404
"2786018",7.65096932709961,7.76805491236097,7.77357787019562,7.66653619143971,7.65798988557333,7.59715370919788
"3448425",7.42636622439863,7.43418578674623,7.25866617822184,7.59205850025815,7.5205604624675,7.54205932318509
"3475102",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"3520520",7.42636622439863,7.58652985521382,7.38803508891605,7.25866617822184,7.25866617822184,7.25866617822184
"3543367",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"3545035",7.52360011868108,7.56230187182396,7.25866617822184,7.89618725181209,7.74696445649421,7.81272335228475
"3557492",8.11003370146499,8.0805818499767,7.93718075896061,8.17630625008491,8.07697252673569,8.13005339956862
"3577546",7.37728137895875,7.25866617822184,7.38803508891605,7.46980301415021,7.49779642185464,7.47303857370642
"3585948",7.42636622439863,7.38281553002415,7.44156025306615,7.46980301415021,7.5205604624675,7.52109731439774
"3593277",7.46399825457487,7.53593133228422,7.25866617822184,7.53778774910904,7.49779642185464,7.54205932318509
"3595276",7.42636622439863,7.4735667839026,7.25866617822184,7.55699349236909,7.44398035662639,7.49828683401678
"3595283",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"3607846",7.61371534255817,7.70465318830536,7.48258994740854,7.25866617822184,7.25866617822184,7.25866617822184
"3642000",7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184
"3642888",7.42636622439863,7.50673578412881,7.51714484619344,7.57501995031687,7.54147985314859,7.52109731439774
"3650534",7.25866617822184,7.38281553002415,7.25866617822184,7.67981978792343,7.69840130347731,7.62929173551807
"3675519",7.42636622439863,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184,7.25866617822184
"3688105",7.25866617822184,7.4735667839026,7.51714484619344,7.25866617822184,7.25866617822184,7.56155692048512
"3691598",7.54880554530833,7.25866617822184,7.25866617822184,7.49467181559862,7.44398035662639,7.52109731439774
"3691661",7.7008754961423,7.76805491236097,7.74063805971936,7.53778774910904,7.54147985314859,7.57985694006953
"3691713",7.42636622439863,7.53593133228422,7.54755788072856,7.25866617822184,7.25866617822184,7.49828683401678
"3692115",7.54880554530833,7.58652985521382,7.57502595281593,7.46980301415021,7.47259963490903,7.47303857370642
"3695442",7.54880554530833,7.4735667839026,7.57502595281593,7.46980301415021,7.5205604624675,7.47303857370642
"3704668",7.54880554530833,7.53593133228422,7.62372461434459,7.46980301415021,7.47259963490903,7.47303857370642
"3708079",7.42636622439863,7.25866617822184,7.38803508891605,7.46980301415021,7.47259963490903,7.49828683401678
"3709039",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"3710169",7.42636622439863,7.4735667839026,7.25866617822184,7.55699349236909,7.49779642185464,7.52109731439774
"3713116",7.25866617822184,7.38281553002415,7.25866617822184,7.5171399354032,7.5205604624675,7.64433772349272
"3722381",7.25866617822184,7.25866617822184,7.25866617822184,7.44155677366296,7.47259963490903,7.49828683401678
"3723795",7.49569671758457,7.56230187182396,7.38803508891605,7.75186284921584,7.61286953799836,7.7362745524404
"3726933",7.25866617822184,7.25866617822184,7.25866617822184,7.5171399354032,7.54147985314859,7.44436074983428
