"","Neg1rep1","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"22519271",6.40129207828574,6.66150313996677,6.40129207828574,6.40129207828574,6.83335117589725,6.91636034496452,6.85945996695803
"22519274",6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574,6.74642190263969,6.66830577294342,6.78300049553218
"22519522",7.074195361585,7.03444722198276,6.99274946412176,7.06063893933182,7.11032628341346,7.13766852464738,7.15822578677755
"22539508",7.11974732916902,6.79805846285427,6.86070456315166,6.83952766958174,6.40129207828574,6.40129207828574,6.40129207828574
"22547990",6.40129207828574,6.61384932091866,6.61857199476462,6.56747522203886,6.66245153313431,6.77837139768163,6.65617562967342
"22549871",6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574,6.7209285330646,6.77837139768163,6.68616826770367
"22551900",6.40129207828574,6.40129207828574,6.40129207828574,6.56747522203886,6.83335117589725,6.77837139768163,6.76128614666545
"22552567",6.91191311402671,6.61384932091866,6.61857199476462,6.63618096730903,6.6275398209895,6.66830577294342,6.68616826770367
"22572138",7.02507170913345,6.85078178831242,6.95241582448585,6.80724052292965,6.77012652376988,6.7280835971097,6.65617562967342
"22581563",6.40129207828574,6.7369212674502,6.70828326357597,6.73311028850387,6.66245153313431,6.69971640864251,6.65617562967342
"22603699",6.40129207828574,6.8748852041918,6.83463187686963,7.11865507096427,6.69317797471126,6.59023381027952,6.62209931690876
"22603881",6.40129207828574,7.13049121642708,7.17610134944798,7.01871370889104,6.88822944556709,6.8811304441249,6.80351869890804
"22604158",7.4073630035491,7.14520633507552,7.19050664000773,7.1889018597057,7.16588771589617,7.13766852464738,7.19818392941792
"22607083",6.65760009500354,7.31338005214601,7.2046289029449,7.2373821546555,7.49941416983105,7.39947247527666,7.46015184609007
"22619435",6.65760009500354,6.7369212674502,6.74435770381522,6.80724052292965,6.77012652376988,6.7280835971097,6.71325739235439
"22676322",6.40129207828574,6.85078178831242,6.74435770381522,6.6888128250997,6.40129207828574,6.40129207828574,6.40129207828574
"22700445",6.40129207828574,6.66150313996677,6.77692577038088,6.40129207828574,6.7209285330646,6.7280835971097,6.73814431750189
"22703971",6.84407475228005,6.7369212674502,6.70828326357597,6.80724052292965,6.40129207828574,6.40129207828574,6.40129207828574
"22726467",6.40129207828574,6.40129207828574,6.74435770381522,6.40129207828574,6.85241127803061,6.7280835971097,6.78300049553218
"22750732",6.40129207828574,6.76879070462509,6.74435770381522,6.77207306517208,6.58608558922088,6.63261502912921,6.71325739235439
"22762227",7.11974732916902,6.9196275359123,7.0118665085158,6.80724052292965,6.40129207828574,6.40129207828574,6.40129207828574
"22764913",7.96669314955732,8.38897435780119,8.41858720965659,8.41458093024827,8.3064908585914,8.35077189781081,8.24923441569556
"22792438",6.76329282794729,6.70162277768354,6.70828326357597,6.56747522203886,6.79236789539416,6.69971640864251,6.73814431750189
"22793568",6.65760009500354,6.89778035542455,6.83463187686963,7.1889018597057,7.04961354087274,7.00945784745526,6.92455870707612
"22798892",6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574,6.7209285330646,6.77837139768163,6.68616826770367
"22802337",7.1623716904898,6.8748852041918,6.80683335251849,6.83952766958174,6.40129207828574,6.40129207828574,6.40129207828574
"22802360",6.65760009500354,6.7369212674502,6.74435770381522,6.40129207828574,6.40129207828574,6.40129207828574,6.40129207828574
"22804383",6.40129207828574,6.70162277768354,6.83463187686963,6.6888128250997,6.40129207828574,6.40129207828574,6.40129207828574
"22834051",6.76329282794729,7.17372453989157,7.30895997102175,7.11865507096427,6.40129207828574,6.40129207828574,6.40129207828574
"22853286",7.1623716904898,7.13049121642708,7.04831199500633,6.97352717177802,6.40129207828574,6.40129207828574,6.40129207828574
"22855134",6.40129207828574,6.96066405640327,6.83463187686963,6.73311028850387,6.74642190263969,6.63261502912921,6.76128614666545
"22855140",6.97145054704635,6.99875993835262,6.83463187686963,6.92423236761557,7.83272182362131,7.35705059037451,7.79068812037033
"22855681",6.76329282794729,6.70162277768354,6.70828326357597,6.56747522203886,6.81338309842807,6.7280835971097,6.73814431750189
"22871404",6.65760009500354,6.8748852041918,6.70828326357597,6.40129207828574,7.8678154168537,7.57216912542909,7.88252921271805
"22891610",6.40129207828574,6.76879070462509,6.88533057592603,6.77207306517208,6.40129207828574,6.40129207828574,6.40129207828574
